Date,KOSPI2_Close,KOSPI2_12MF_EPS,KOSPI2_12MF_PE,KOSPI2_Fund_Flow,KSP2_CM_Close,KSP2_CM_12MF_EPS,KSP2_CM_12MF_PE,KSP2_CM_Fund_Flow,KSP2_CT_Close,KSP2_CT_12MF_EPS,KSP2_CT_12MF_PE,KSP2_CT_Fund_Flow,KSP2_HI_Close,KSP2_HI_12MF_EPS,KSP2_HI_12MF_PE,KSP2_HI_Fund_Flow,KSP2_MT_Close,KSP2_MT_12MF_EPS,KSP2_MT_12MF_PE,KSP2_MT_Fund_Flow,KSP2_EN_Close,KSP2_EN_12MF_EPS,KSP2_EN_12MF_PE,KSP2_EN_Fund_Flow,KSP2_IT_Close,KSP2_IT_12MF_EPS,KSP2_IT_12MF_PE,KSP2_IT_Fund_Flow,KSP2_FN_Close,KSP2_FN_12MF_EPS,KSP2_FN_12MF_PE,KSP2_FN_Fund_Flow,KSP2_CS_Close,KSP2_CS_12MF_EPS,KSP2_CS_12MF_PE,KSP2_CS_Fund_Flow,KSP2_CD_Close,KSP2_CD_12MF_EPS,KSP2_CD_12MF_PE,KSP2_CD_Fund_Flow,KSP2_IN_Close,KSP2_IN_12MF_EPS,KSP2_IN_12MF_PE,KSP2_IN_Fund_Flow,KSP2_HE_Close,KSP2_HE_12MF_EPS,KSP2_HE_12MF_PE,KSP2_HE_Fund_Flow
2011-11-04,252.34,"7,698.00",8.81,100.19,,,,,639.42,"4,309.00",10.48,101.13,579.24,"6,791.00",10.10,99.78,"1,014.52","15,346.00",7.61,99.68,"1,340.31","15,398.00",7.41,99.49,"1,186.92","12,990.00",10.23,100.23,717.86,"3,353.00",7.08,100.69,829.95,"4,181.00",12.18,100.44,"2,246.48","15,640.00",8.20,100.18,,,,,,,,
2011-11-11,242.99,"7,710.00",8.50,100.16,,,,,618.78,"4,296.00",10.14,101.08,544.77,"6,874.00",9.45,99.76,984.88,"15,343.00",7.40,99.66,"1,296.69","15,384.00",7.16,99.42,"1,143.38","13,264.00",9.94,100.21,676.68,"3,327.00",6.78,100.66,818.16,"4,162.00",12.05,100.41,"2,141.98","15,658.00",7.81,100.19,,,,,,,,
2011-11-18,239.43,"7,670.00",8.44,100.09,,,,,608.85,"4,322.00",10.08,101.02,539.70,"6,776.00",9.45,99.72,986.00,"15,430.00",7.49,99.57,"1,269.03","15,329.00",7.06,99.21,"1,146.92","13,298.00",9.83,100.16,654.29,"3,311.00",6.68,100.60,821.64,"3,929.00",12.87,100.39,"2,076.38","15,629.00",7.58,100.12,,,,,,,,
2011-11-25,231.03,"7,650.00",8.17,100.09,,,,,569.86,"4,327.00",9.51,101.00,510.15,"6,675.00",9.08,99.71,925.86,"15,411.00",6.98,99.54,"1,180.88","15,214.00",6.59,99.21,"1,108.40","13,350.00",9.52,100.17,648.17,"3,299.00",6.63,100.63,826.48,"3,917.00",13.00,100.42,"1,998.93","15,533.00",7.35,100.07,,,,,,,,
2011-12-02,251.19,"7,629.00",8.78,100.16,,,,,637.89,"4,369.00",10.44,101.07,572.78,"6,573.00",10.37,99.78,"1,029.37","15,537.00",7.74,99.58,"1,305.98","15,006.00",7.42,99.25,"1,209.83","13,808.00",10.13,100.24,707.54,"3,126.00",7.45,100.69,842.98,"4,332.00",11.96,100.42,"2,116.48","15,558.00",7.74,100.23,,,,,,,,
2011-12-09,244.93,"7,630.00",8.56,100.09,,,,,622.40,"4,362.00",10.23,101.00,558.88,"6,650.00",9.94,99.72,996.85,"14,943.00",7.58,99.54,"1,253.96","14,861.00",7.22,99.12,"1,170.56","13,885.00",9.94,100.19,671.27,"3,204.00",6.99,100.59,847.79,"4,309.00",12.13,100.39,"2,062.76","15,562.00",7.53,100.17,,,,,,,,
2011-12-16,239.82,"7,601.00",8.42,100.08,,,,,610.18,"4,370.00",10.19,101.01,526.94,"6,642.00",9.43,99.62,951.99,"14,825.00",7.42,99.50,"1,197.69","14,679.00",6.96,99.08,"1,178.35","13,901.00",9.93,100.19,647.25,"3,171.00",6.83,100.56,852.30,"4,313.00",12.22,100.40,"1,998.36","15,556.00",7.29,100.16,,,,,,,,
2011-12-23,244.22,"7,595.00",8.57,100.13,,,,,619.19,"4,368.00",10.27,101.05,535.92,"6,617.00",9.67,99.69,961.70,"14,717.00",7.58,99.55,"1,210.30","14,508.00",7.12,99.21,"1,186.18","14,145.00",9.99,100.24,668.76,"3,162.00",7.03,100.60,868.69,"4,284.00",12.50,100.44,"2,036.30","15,536.00",7.46,100.22,,,,,,,,
2011-12-30,238.08,"7,587.00",8.37,100.14,,,,,601.80,"4,348.00",10.06,101.07,509.07,"6,626.00",9.12,99.64,933.77,"14,624.00",7.37,99.55,"1,164.46","14,487.00",6.92,99.23,"1,168.11","14,136.00",9.87,100.26,648.51,"3,160.00",6.82,100.59,834.82,"4,285.00",12.01,100.43,"2,006.76","15,532.00",7.37,100.24,,,,,,,,
2012-01-06,240.57,"7,476.00",8.41,100.11,,,,,614.26,"4,382.00",10.04,101.05,522.96,"6,766.00",9.33,99.61,952.97,"14,928.00",7.64,99.53,"1,206.22","13,695.00",7.28,99.19,"1,187.34","13,661.00",9.65,100.22,646.10,"3,078.00",6.78,100.55,832.22,"4,397.00",11.74,100.39,"2,040.80","15,554.00",7.46,100.21,,,,,,,,
