Date,KOSPI2_Close,KOSPI2_12MF_EPS,KOSPI2_12MF_PE,KOSPI2_Fund_Flow,KSP2_CT_Close,KSP2_CT_12MF_EPS,KSP2_CT_12MF_PE,KSP2_CT_Fund_Flow,KSP2_HI_Close,KSP2_HI_12MF_EPS,KSP2_HI_12MF_PE,KSP2_HI_Fund_Flow,KSP2_MT_Close,KSP2_MT_12MF_EPS,KSP2_MT_12MF_PE,KSP2_MT_Fund_Flow,KSP2_EN_Close,KSP2_EN_12MF_EPS,KSP2_EN_12MF_PE,KSP2_EN_Fund_Flow,KSP2_IT_Close,KSP2_IT_12MF_EPS,KSP2_IT_12MF_PE,KSP2_IT_Fund_Flow,KSP2_FN_Close,KSP2_FN_12MF_EPS,KSP2_FN_12MF_PE,KSP2_FN_Fund_Flow,KSP2_CS_Close,KSP2_CS_12MF_EPS,KSP2_CS_12MF_PE,KSP2_CS_Fund_Flow,KSP2_CD_Close,KSP2_CD_12MF_EPS,KSP2_CD_12MF_PE,KSP2_CD_Fund_Flow
2011-12-11,244.93,7630,8.56,100.09,622.4,4362,10.23,101,558.88,6650,9.94,99.72,996.85,14943,7.58,99.54,1253.96,14861,7.22,99.12,1170.56,13885,9.94,100.19,671.27,3204,6.99,100.59,847.79,4309,12.13,100.39,2062.76,15562,7.53,100.17
2011-12-18,239.82,7601,8.42,100.08,610.18,4370,10.19,101.01,526.94,6642,9.43,99.62,951.99,14825,7.42,99.5,1197.69,14679,6.96,99.08,1178.35,13901,9.93,100.19,647.25,3171,6.83,100.56,852.3,4313,12.22,100.4,1998.36,15556,7.29,100.16
2011-12-25,244.22,7595,8.57,100.13,619.19,4368,10.27,101.05,535.92,6617,9.67,99.69,961.7,14717,7.58,99.55,1210.3,14508,7.12,99.21,1186.18,14145,9.99,100.24,668.76,3162,7.03,100.6,868.69,4284,12.5,100.44,2036.3,15536,7.46,100.22
2012-01-01,238.08,7587,8.37,100.14,601.8,4348,10.06,101.07,509.07,6626,9.12,99.64,933.77,14624,7.37,99.55,1164.46,14487,6.92,99.23,1168.11,14136,9.87,100.26,648.51,3160,6.82,100.59,834.82,4285,12.01,100.43,2006.76,15532,7.37,100.24
2012-01-08,240.57,7476,8.41,100.11,614.26,4382,10.04,101.05,522.96,6766,9.33,99.61,952.97,14928,7.64,99.53,1206.22,13695,7.28,99.19,1187.34,13661,9.65,100.22,646.1,3078,6.78,100.55,832.22,4397,11.74,100.39,2040.8,15554,7.46,100.21
2012-01-15,245.28,7420,8.64,100.22,623.14,4381,10.21,101.05,549.79,6612,9.96,100.92,996.4,14591,7.92,99.59,1256.19,13534,7.66,99.27,1217.36,13581,9.82,100.27,656.27,3021,7.03,100.61,816.21,4340,11.64,100.36,2090.39,15575,7.64,100.22
2012-01-22,256.61,7350,9.12,100.35,651.73,4379,10.67,101.18,600.19,6540,10.99,101.18,1052.66,13797,8.85,99.74,1341.18,13282,8.36,99.45,1261.73,13574,10.28,100.46,710.5,2964,7.7,100.74,814.78,4306,11.71,100.34,2118.75,15659,7.71,100.25
2012-01-29,258.65,7335,9.2,100.38,658.53,4411,10.67,101.22,586.61,6207,11.17,101.18,1072.06,13869,8.98,99.79,1360.79,13299,8.47,99.59,1277.71,13577,10.44,100.51,728.27,2962,7.9,100.87,823.71,4341,11.7,100.33,2086.19,15586,7.63,100.11
2012-02-05,258.53,7321,9.23,100.35,691.08,4398,11.3,101.3,602.31,5948,11.66,100.98,1094.48,13888,9.02,99.79,1433.88,13404,8.84,99.73,1283.16,13672,10.12,100.43,746.33,2939,8.18,100.93,813.7,4331,11.59,100.28,2030.51,15466,7.47,100
2012-02-12,261.17,7279,9.34,100.32,710.34,4380,11.74,101.34,652.66,5992,12.54,101.06,1117.48,14113,9.29,99.8,1481.4,13512,9.04,99.66,1286.85,13557,10.2,100.41,741.73,2947,8.12,100.89,793.89,4281,11.45,100.18,2052.35,14472,7.51,99.96
